id,amount,length,housing,income,purpose,overdue_times,default_times,total_default_number,last_overdue_months,inquire_times,closed_credict_cards,total_balance,mortage_number,account_number,loan_history,recent_loan_number,recent_account_months,credict_used_amount,credict_limit,half_used_credict_card,total_credict_card_number,last_credict_card_months,target
35,22000,6,3,9000,2,0,0,0,31,0,0,194500,1,5,3,0,21,6308,58000,1,2,48,0
36,10000,7,3,6000,2,0,0,0,31,0,0,190300,1,3,2,0,21,1284,85500,0,3,5,0
37,12000,10,1,4280,1,0,0,0,31,0,0,59900,0,2,2,0,21,2952,30000,1,2,4,0
38,13000,3,1,3800,2,0,0,0,31,0,0,43800,0,2,1,0,32,2702,37000,0,1,6,0
39,10000,7,3,7475,1,0,0,0,29,0,0,151500,1,3,2,0,16,18292,115000,1,2,12,0
40,3000,7,3,10350,1,0,0,1,48,0,0,233500,1,3,4,0,21,688,37000,0,2,4,0
41,20000,10,1,5500,1,0,0,0,31,0,0,48200,0,3,2,0,21,2532,40000,1,5,16,0
42,5000,8,2,5000,1,0,0,0,31,0,0,8100,0,3,5,1,32,1212,92000,0,13,5,0
43,10000,3,3,10800,12,0,0,0,47,0,0,228800,1,2,1,0,14,482,19500,0,1,16,0
44,7000,10,2,4400,1,0,0,0,44,0,0,39300,0,2,2,0,21,7872,71500,1,6,3,0
45,21000,6,3,11500,1,0,0,0,48,1,0,82800,1,2,2,0,21,8122,93500,0,2,5,0
46,18000,9,3,9080,1,0,0,0,31,0,0,352400,1,4,2,0,25,5292,61500,1,3,5,0
47,25000,7,3,12600,1,0,0,0,31,0,0,546100,2,3,2,0,27,18214,151000,0,3,99,0
48,25000,8,3,17500,1,0,0,0,31,0,0,485600,1,4,4,0,21,11346,165000,0,2,6,0
49,8000,10,1,6003,2,0,0,0,25,1,0,14100,0,3,2,0,21,1956,50000,0,2,2,0
50,28000,6,1,8000,2,0,0,0,31,0,0,35900,0,2,1,0,32,4606,49500,0,2,19,0
51,7000,8,3,3800,6,0,0,0,75,0,0,1700,1,1,1,0,21,346,21000,0,2,3,0
52,8000,4,1,5700,1,0,0,0,82,0,0,30800,0,4,3,0,21,2258,37000,2,5,23,0
53,17000,4,3,6200,2,0,0,0,31,0,0,240500,1,3,4,1,10,2842,31500,1,3,32,0
54,10000,7,3,8000,2,0,0,0,31,0,0,180500,3,2,2,0,21,2112,24000,1,2,17,0
55,24000,4,3,5769,2,0,0,0,31,0,0,136900,1,3,1,0,20,2322,44500,0,1,33,0
56,10000,10,3,8125,2,0,0,0,21,0,0,195300,4,2,3,0,21,560,16500,1,3,46,0
57,11000,7,1,4000,2,0,0,0,31,0,0,9900,0,3,2,0,21,1866,36000,0,4,16,0
58,3000,7,1,2300,2,0,0,0,31,0,0,9700,0,2,1,0,32,1940,31000,0,1,7,0
59,10000,7,3,5300,1,0,0,0,28,0,0,136900,1,3,2,0,21,1902,24500,1,3,1,0
60,2000,3,3,15060,9,0,0,0,31,0,0,67700,1,4,3,0,21,24138,36500,0,2,13,0
61,2000,3,1,4500,8,0,0,0,31,0,0,25300,0,3,1,0,24,518,19500,0,1,23,1
62,23000,5,3,7000,2,0,0,0,31,0,0,235000,1,2,1,0,21,4752,38000,1,3,46,0
63,8000,6,3,5900,9,0,0,0,31,0,0,32100,1,3,1,1,26,3734,58000,0,3,2,0
64,4000,7,1,5410,1,0,0,0,31,0,0,50200,0,2,2,0,21,1332,23500,1,4,13,0
65,12000,5,1,4200,2,0,0,0,15,0,0,256100,0,3,6,0,21,2310,47500,1,5,7,0
66,24000,2,3,8000,1,0,0,0,31,0,0,232300,1,4,1,0,21,7600,69500,1,3,1,0
67,2000,3,3,5637,2,0,0,0,37,0,0,195700,1,3,1,1,59,1702,36000,0,1,10,0
68,16000,6,1,7200,1,0,0,0,31,0,0,95800,0,5,2,2,13,4522,80500,0,3,6,0
69,6000,2,3,9300,2,0,0,0,31,0,0,193200,1,5,4,0,14,2032,111000,0,3,13,0
70,7000,9,3,3857,1,0,0,0,31,0,0,133500,1,5,2,1,11,2880,40500,0,2,8,0
71,1000,7,1,3300,2,0,0,0,31,0,0,19300,0,2,0,0,26,260,14500,0,1,3,0
72,20000,10,3,8600,2,0,0,0,34,0,0,33800,1,2,1,0,21,1798,24500,0,1,77,0
73,14000,7,3,7500,2,0,0,0,31,0,0,238500,1,5,5,0,21,1822,27000,0,2,3,0
74,24000,10,3,13000,2,0,0,0,24,0,0,278200,1,4,4,0,17,4032,34500,1,3,27,0
75,15000,10,1,15000,2,0,0,0,31,0,0,12100,1,1,1,0,21,2100,23500,1,2,12,0
76,8000,5,2,6000,6,0,0,0,31,0,0,35400,0,3,1,0,16,2066,28000,0,1,39,0
77,4000,1,1,6000,2,0,0,0,29,0,0,63200,0,3,1,1,13,2232,32500,0,2,15,0
78,5000,10,3,3400,1,1,0,0,11,0,0,20700,1,3,1,0,21,1154,26500,0,2,4,0
79,16000,7,3,4500,1,0,0,0,31,0,0,185800,1,4,3,0,23,5694,63500,1,2,13,0
80,12000,10,3,5800,2,0,0,0,17,0,0,132100,1,2,2,0,15,368,17500,0,0,33,0
81,5000,1,1,3300,2,0,0,0,31,0,0,15600,0,3,1,1,14,1282,27500,0,1,2,0
82,10000,10,2,5119,2,1,0,0,5,0,0,156700,0,3,2,0,34,1124,20000,0,2,138,0
83,4000,1,1,4580,2,0,0,0,31,1,0,25800,0,2,2,0,21,804,22000,0,1,103,0
84,10000,7,1,4150,0,0,0,0,15,0,0,18000,0,1,1,1,44,546,16000,1,2,5,0
85,15000,1,1,4260,2,0,0,0,31,0,0,9900,0,2,1,1,15,1990,36500,0,3,3,0
86,2000,10,1,6000,0,0,0,0,31,0,0,8200,0,2,0,0,20,1366,27500,0,1,14,0
87,20000,4,2,6800,1,0,0,0,31,0,0,236100,1,3,3,0,21,1226,38500,0,1,2,0
88,9000,7,3,7100,12,1,0,0,12,0,0,230100,3,3,3,0,32,700,52500,0,4,5,0
89,8000,7,1,6000,2,0,0,0,67,0,0,13800,0,2,1,0,13,1306,32000,0,2,17,0
90,6000,2,1,4321,2,0,0,0,60,0,0,3900,0,3,1,1,21,796,22000,0,2,17,0
91,4000,1,1,6000,2,0,0,0,31,0,0,17100,0,4,4,0,20,80,56500,0,4,8,0
92,40000,10,1,14000,2,0,0,0,21,0,0,15700,0,2,0,1,14,1034,37000,0,1,23,0
93,24000,10,3,7200,2,0,0,0,31,0,0,292600,2,4,3,0,21,5026,65000,1,5,28,0
94,10000,3,3,5740,2,0,0,0,20,0,0,131100,1,5,7,3,49,10806,103500,0,5,1,0
95,12000,10,3,5200,2,0,0,0,31,1,0,114600,1,4,4,0,21,1870,38000,0,2,1,0
96,6000,10,3,4400,2,0,0,0,31,0,0,107700,1,2,1,0,21,1132,23500,0,1,7,0
97,9000,10,1,5800,2,0,0,0,35,0,0,29100,0,3,2,0,21,2506,39500,0,2,20,0
98,8000,2,3,11000,2,0,0,0,24,0,0,70200,1,5,7,3,14,1236,68000,0,4,2,0
99,2000,1,1,6200,2,1,0,0,10,1,0,25300,0,3,3,1,9,536,18000,0,1,43,0
100,3000,3,1,2500,2,0,0,0,74,0,0,9400,1,3,4,0,21,726,29500,0,5,24,0
101,5000,5,3,3200,2,0,0,0,47,0,0,17700,1,2,1,0,44,704,20500,0,0,72,0
102,12000,10,3,3000,2,0,0,0,50,0,0,30200,1,2,1,0,142,6046,50500,0,2,124,0
103,5000,6,2,2500,1,0,0,0,37,0,0,82500,0,3,2,0,21,1324,24000,0,2,23,0
104,10000,6,1,5300,2,0,0,0,42,0,0,45900,0,2,2,0,13,790,29500,0,2,61,0
105,19000,5,1,4500,2,0,0,0,31,0,0,29100,0,1,1,0,36,3698,39500,0,0,102,0
106,14000,6,2,8900,6,1,0,0,9,0,0,36100,0,3,2,0,33,1006,22500,0,1,52,0
107,9000,10,1,5200,2,0,0,0,53,0,0,17700,0,2,1,0,21,864,21000,0,1,25,0
108,7000,4,1,12500,3,0,0,0,45,0,0,44800,0,3,2,0,16,3020,28000,1,2,34,0
109,12000,2,1,5356,1,0,0,0,28,0,0,99300,0,4,3,0,34,2340,29000,1,2,101,0
110,4000,2,1,10300,2,0,0,0,31,0,0,152800,0,4,3,0,13,6344,52000,1,3,20,0
111,20000,3,1,15000,2,0,0,0,31,0,0,93300,0,3,2,0,19,6242,51000,1,3,17,0
112,15000,7,1,4000,1,0,0,0,31,1,0,36800,0,3,1,0,21,1660,35000,0,2,19,0
113,14000,5,1,11400,2,0,0,0,81,0,0,92500,1,4,3,0,13,2320,41500,0,3,8,0
114,4000,5,1,6000,1,0,0,0,31,0,0,50200,0,4,1,2,14,676,38500,0,1,5,0
115,20000,6,2,3300,2,0,0,0,31,0,0,26600,0,2,2,0,26,5110,44500,1,2,34,0
116,12000,10,2,8000,2,0,0,0,31,0,0,235800,1,3,2,1,12,1010,49000,0,2,7,0
117,11000,7,3,2750,2,0,0,0,69,0,0,9700,3,2,3,1,47,1956,38500,0,5,2,0
118,7000,7,3,3000,6,0,0,0,31,0,0,13900,1,1,1,0,21,354,26500,0,1,35,0
119,10000,3,1,12000,3,0,0,0,47,0,0,8400,0,3,2,1,174,1696,90000,0,2,4,0
120,3000,10,2,3600,4,0,0,0,35,1,0,14700,1,3,3,0,21,1264,29500,0,4,8,0
121,20000,7,1,6500,2,0,0,0,31,0,0,52400,0,2,1,0,21,3274,41000,0,2,7,0
122,7000,7,1,5000,3,0,0,0,31,0,0,6200,0,4,2,0,33,180,79000,0,3,9,0
123,20000,2,1,18600,2,0,0,0,26,0,0,83000,2,4,4,0,21,9160,75500,1,3,10,0
124,24000,10,3,12000,2,0,0,0,31,0,0,626100,3,3,3,0,21,12014,95000,1,4,13,0
125,21000,10,1,8600,1,1,0,0,6,0,0,63300,1,3,2,0,20,4350,51500,0,2,7,0
126,4000,10,1,6000,1,0,0,0,39,0,0,137200,1,3,1,0,21,678,26000,0,1,25,0
127,28000,10,3,18600,6,0,0,0,31,0,0,279500,2,3,1,0,168,12098,129500,0,2,85,0
128,5000,7,2,2925,2,0,0,0,31,0,0,19300,1,1,1,0,39,3806,32500,1,2,8,0
129,10000,10,1,5011,1,0,0,0,31,0,0,21500,0,1,0,0,21,536,29500,0,0,50,0
130,4000,10,3,9500,2,0,0,0,43,0,0,185900,1,2,2,0,21,4098,35000,1,3,65,0
131,30000,10,3,15000,2,0,0,0,31,0,0,72900,1,3,1,0,21,14588,100000,0,2,5,0
132,20000,9,3,7500,2,0,0,0,81,0,0,127500,1,2,2,0,21,4248,44000,0,2,5,0
133,10000,10,3,3800,6,0,0,0,31,0,0,111900,1,3,1,0,28,278,18000,0,0,43,0
134,28000,5,3,14000,2,0,0,0,31,0,0,561700,1,2,1,0,21,12218,82500,0,1,113,0
135,4000,7,3,3800,0,0,0,0,31,0,0,257700,1,3,1,0,30,938,21500,0,0,32,0
136,8000,10,3,5700,2,0,0,0,31,0,0,184900,1,3,3,0,21,1162,37000,0,2,4,0
137,6000,3,1,2080,2,0,0,0,31,0,0,20200,0,2,1,0,21,630,23500,0,1,6,0
138,3000,9,3,3200,1,0,0,0,31,0,0,125900,1,3,2,1,33,1956,56500,0,3,2,0
139,3000,8,1,6000,1,0,0,0,31,0,0,15700,0,3,2,1,17,1986,75500,0,3,5,0
140,24000,1,3,9000,2,0,0,0,31,0,0,227700,1,3,2,0,21,5866,73500,0,3,13,0
141,10000,3,1,6500,1,0,0,0,35,0,0,82600,0,4,1,0,14,2026,40000,0,1,55,0
142,7000,10,3,6800,2,0,1,0,31,0,0,232000,2,2,2,1,19,1000,22500,0,0,4,0
143,20000,2,3,8500,6,0,0,0,73,0,0,162100,1,1,1,0,13,1354,21000,0,1,45,0
144,25000,10,1,8000,1,0,0,0,21,0,0,49400,0,2,1,0,21,2750,28000,0,1,137,0
145,12000,10,3,3900,2,0,0,0,31,0,0,104100,1,3,2,0,21,1130,27500,0,1,8,0
146,14000,3,3,5200,2,0,0,0,63,0,0,114300,1,3,7,0,21,3326,33500,1,3,3,0
147,8000,10,3,4900,1,0,0,0,36,0,0,121100,2,5,4,0,21,1746,38000,0,7,2,0
148,20000,10,3,6000,2,0,0,0,17,1,0,240800,1,2,1,1,13,2394,39500,0,1,8,0
149,7000,7,1,15800,0,0,0,0,15,0,0,6500,0,3,2,0,21,1316,26000,1,3,45,0
150,15000,2,1,11000,1,0,0,0,35,0,0,60500,0,3,4,0,15,3560,68500,0,2,17,0
151,10000,7,2,8400,1,0,0,0,31,0,0,26300,0,1,1,0,22,1986,26000,0,1,145,0
152,20000,3,1,13000,2,0,0,0,48,0,0,57300,0,5,4,0,21,6672,169500,0,7,21,0
153,10000,5,3,4200,2,0,0,0,31,0,0,265600,1,5,3,0,21,1386,30000,0,1,24,0
154,13000,10,1,5200,8,0,0,0,69,0,0,10100,0,1,1,0,21,448,25000,0,1,102,0
155,6000,10,2,3900,2,0,0,0,31,0,0,38800,0,5,4,1,14,5126,129000,0,7,5,0
156,5000,7,1,11500,10,0,0,0,60,0,0,33400,1,2,3,0,21,1058,26000,1,4,4,0
157,4000,3,1,6000,2,0,0,0,31,0,0,101900,0,3,2,1,13,602,16500,0,0,2,0
158,9000,7,3,4422,2,0,0,0,31,0,0,136800,1,3,1,0,21,1284,29000,0,0,72,0
159,20000,10,3,10000,2,0,0,0,31,0,0,277000,1,3,3,0,34,4954,50500,1,5,9,0
160,18000,7,2,4300,1,0,0,0,31,0,0,16600,0,2,1,0,21,1734,26000,0,2,24,0
161,30000,10,3,8500,2,0,0,0,22,1,0,383900,2,4,3,0,21,5824,85000,0,4,6,0
162,14000,7,3,5100,6,0,0,0,22,0,0,93200,1,2,2,0,21,1174,25000,0,1,5,0
163,5000,7,1,4600,2,0,0,0,31,1,0,1000,2,3,1,0,21,216,21500,0,2,2,0
164,9000,1,3,17500,2,0,0,0,20,0,0,570700,1,4,3,1,9,3518,49500,1,4,3,0
165,3000,1,1,5000,2,0,0,0,31,0,0,40100,0,2,1,1,9,18,36500,0,2,13,0
166,18000,10,1,5000,1,0,0,0,31,0,0,44100,0,4,2,0,21,3820,36000,0,2,16,0
167,15000,4,3,11500,2,0,0,0,31,0,0,155700,1,3,2,0,21,4172,47500,0,3,23,0
168,4000,10,3,2800,1,0,0,0,31,0,0,22000,1,1,1,0,31,808,27000,0,0,13,0
169,9000,10,3,4500,2,0,0,0,46,0,0,196200,1,2,2,0,21,20856,118500,1,2,57,0
170,20000,8,3,13000,2,0,0,0,31,0,0,197600,1,5,4,0,21,16694,168000,1,8,10,0
171,5000,2,3,4800,2,0,0,0,31,0,0,258600,2,3,2,0,15,1700,37500,0,2,37,0
172,20000,7,1,5200,2,0,0,0,40,0,0,52000,0,2,1,0,100,3862,43500,0,1,32,0
173,11000,7,3,3600,2,1,0,0,1,0,0,286900,2,3,2,0,21,1820,28500,0,3,80,0
174,5000,3,1,4800,2,0,0,0,31,1,0,56500,0,3,2,0,21,414,25000,0,3,11,0
175,18000,9,3,8400,2,0,0,0,31,0,0,60800,1,3,1,0,28,1940,23000,0,0,44,0
176,7000,3,3,19000,1,0,0,0,31,0,0,266200,1,3,1,0,33,3260,54500,0,1,3,0
177,5000,10,3,6100,6,1,0,0,12,0,0,22300,1,4,2,0,92,4470,47000,1,2,13,0
178,10000,4,3,6000,2,0,0,0,31,0,0,107100,1,2,2,0,21,3298,30500,0,2,41,0
179,5000,5,2,3000,2,0,0,0,35,0,0,7800,0,4,2,0,21,1562,146500,0,5,14,0
180,16000,7,2,7200,2,0,0,0,31,0,0,23600,0,3,2,0,17,2260,81000,0,2,26,0
181,15000,10,3,7600,1,0,0,0,31,0,0,199100,2,2,2,0,21,6648,71500,0,3,16,0
182,28000,10,3,16645,1,0,0,0,31,0,0,454700,3,3,3,1,10,15766,120000,0,2,26,0
183,12000,3,1,6000,2,0,0,0,31,0,0,27400,0,1,0,0,21,2690,32000,0,1,12,0
184,15000,10,1,4100,1,0,0,0,31,0,0,181300,1,1,1,0,62,3180,53000,0,1,10,0
185,8000,3,1,3500,2,0,0,0,19,0,0,41200,1,4,2,0,39,1558,26000,0,1,54,0
186,15000,10,3,80000,6,0,0,0,29,0,0,142300,1,4,3,0,17,6156,73000,0,3,27,0
187,4000,7,1,5500,2,0,0,0,31,0,0,34600,0,3,2,0,15,2078,83000,0,4,4,0
188,2000,10,3,6500,9,0,0,0,31,0,0,95000,1,2,1,0,21,5186,45500,0,2,15,0
189,10000,7,1,5000,2,0,0,0,31,0,0,45000,0,4,2,0,21,3104,58000,0,4,1,0
190,24000,10,2,5500,6,0,0,0,14,0,0,14600,0,5,3,0,23,848,33000,0,2,17,0
191,10000,7,3,6500,2,0,0,0,31,0,0,321800,1,3,1,0,38,2912,34000,0,1,1,1
192,20000,7,1,5500,2,0,0,0,31,0,0,36800,0,4,3,0,21,1134,63000,0,5,6,0
193,8000,3,3,5200,1,0,0,0,20,0,0,197600,3,3,3,0,21,1376,30000,0,3,3,0
194,3000,8,3,4000,2,0,0,0,31,0,0,223900,1,2,0,1,10,710,20500,0,1,14,0
195,9000,10,3,3600,9,0,1,0,14,0,0,113500,1,3,2,1,16,548,32000,0,2,2,0
196,8000,10,1,7500,1,0,0,0,15,0,0,7400,0,4,2,1,63,1498,41500,0,3,5,0
197,20000,7,1,7300,2,0,0,0,56,0,0,18400,0,1,1,0,21,1368,22500,0,4,8,0
198,6000,10,2,4103,2,0,1,0,30,0,0,39900,2,2,2,0,18,1318,20000,1,3,63,0
199,6000,7,1,1000,4,0,0,0,41,0,0,11300,2,2,1,0,100,2264,112500,0,2,80,0
200,10000,7,3,6600,1,0,0,0,31,0,0,198100,1,4,3,0,27,5988,122500,0,3,7,0
201,6000,2,1,4000,2,0,0,0,31,0,0,13000,0,1,0,0,21,1340,20500,1,2,6,0
202,36000,5,3,32500,6,0,0,0,31,0,0,1199300,2,2,1,0,26,0,47000,0,1,146,0
203,3000,5,3,7600,1,0,0,0,31,0,0,277300,1,5,3,2,13,126,50500,0,2,17,0
204,3000,10,3,5000,4,0,0,0,31,0,0,97100,2,3,2,0,22,798,48000,0,2,4,0
205,6000,5,2,6000,2,0,0,0,110,0,0,16800,0,3,2,2,18,1196,38000,0,3,4,0
206,6000,7,1,9700,2,0,0,0,69,0,0,26000,0,3,2,0,34,1652,45000,0,5,6,0
207,21000,10,1,10000,2,0,0,0,73,0,0,120200,1,2,2,0,21,4850,42000,1,3,23,0
208,6000,1,3,8500,2,0,0,0,31,0,0,298200,3,5,6,0,21,652,30500,0,3,43,0
209,16000,10,3,4990,1,0,0,0,34,0,0,205400,1,3,2,0,21,4906,60000,0,2,10,0
210,16000,7,3,6500,1,1,0,0,12,0,0,181500,1,4,3,0,25,4798,46500,0,2,42,0
211,24000,10,3,14500,2,0,0,0,13,0,0,226300,1,3,2,0,29,1682,41000,0,2,7,0
212,12000,10,3,8800,0,0,0,0,29,0,0,475300,3,3,3,2,9,5998,64500,0,0,103,0
213,7000,1,1,4400,1,0,0,0,31,0,0,24300,1,2,2,0,29,2964,33000,0,1,22,0
214,5000,7,3,3500,2,0,0,0,42,0,0,374400,1,3,1,0,18,1354,20500,0,0,15,0
215,14000,8,3,5800,2,0,0,0,40,0,0,299400,1,3,2,0,17,1362,31000,0,2,18,0
216,18000,10,3,4000,2,0,0,0,27,0,0,72500,1,4,5,0,35,2388,59000,1,5,2,0
217,7000,7,2,3481,1,0,0,0,31,0,0,69000,1,3,2,0,28,2906,41000,0,3,9,0
218,7000,7,3,6500,6,1,0,0,23,0,0,142200,1,2,2,1,38,1028,33000,0,1,1,0
219,17000,2,1,9800,1,1,0,0,5,0,0,192700,0,2,2,0,26,3520,48000,0,2,16,0
220,24000,9,1,7500,1,0,0,0,31,0,0,41800,0,3,2,0,21,8358,61000,1,5,4,0
221,6000,7,1,5000,1,0,0,0,31,0,0,54500,0,3,1,0,19,1126,21500,0,1,9,0
222,20000,6,1,5150,1,0,0,0,72,0,0,24200,1,4,3,0,21,4858,101500,0,4,4,0
223,12000,6,1,3900,2,1,0,0,13,0,0,16100,0,3,1,0,21,842,21500,0,3,3,0
224,5000,2,3,6000,2,1,0,0,9,0,0,162300,1,2,1,0,21,3486,41000,0,0,85,0
225,8000,10,3,10500,2,0,0,1,14,0,0,101600,1,1,4,1,12,1110,20000,2,9,128,0
226,15000,1,1,7300,1,0,0,0,31,0,0,61600,0,1,0,1,11,2754,42500,0,1,1,0
227,4000,10,3,8265,2,0,0,0,13,0,0,350700,2,4,3,2,20,2604,31000,0,1,4,0
228,12000,10,3,4200,2,0,0,0,16,0,0,231500,2,4,3,0,105,4328,90500,0,4,28,0
229,12000,10,3,3500,2,0,0,0,31,0,0,67700,1,3,2,0,21,2114,36500,0,2,11,0
230,11000,10,1,7680,0,0,0,0,31,0,0,54000,0,2,2,0,16,4644,48000,0,1,38,0
231,18000,10,1,5700,2,0,0,0,25,0,0,36900,0,3,2,0,21,3120,47500,0,4,9,0
232,6000,9,3,4600,2,0,0,0,31,0,0,161100,1,2,2,0,21,1964,63000,0,1,1,0
233,20000,9,3,11800,2,0,0,0,26,0,0,348500,1,3,1,1,11,2296,28000,0,1,50,0
234,15000,4,3,20000,1,0,0,0,53,0,0,77200,2,4,3,0,21,6116,104000,0,3,10,0
235,20000,10,3,5000,2,0,0,0,31,0,0,29300,1,3,1,2,14,802,29500,0,1,13,0
236,15000,8,3,10000,2,1,0,0,12,0,0,375400,2,3,2,0,21,6116,57500,0,3,36,0
237,8000,5,3,6000,2,0,0,0,31,0,0,47300,5,2,4,0,21,970,23500,0,5,26,0
238,5000,10,1,13000,2,1,0,0,11,0,0,45500,1,3,3,1,12,546,21500,0,3,16,0
239,7000,2,1,6500,1,0,0,0,31,0,0,76200,0,3,2,0,21,382,21000,0,1,3,0
240,25000,7,1,7200,2,0,0,0,52,0,0,67700,0,3,2,0,21,2126,36500,0,2,13,0
241,2000,10,3,5500,0,0,0,0,31,0,0,215900,1,2,2,0,31,820,44000,0,2,54,0
242,2000,10,2,18500,3,1,0,0,10,0,0,366200,0,1,0,0,103,32,13500,0,0,141,0
243,12000,1,1,3421,2,0,0,0,13,0,0,28100,0,3,2,0,21,2862,49500,0,3,7,0
244,5000,4,1,2268,8,0,0,0,61,0,0,11700,0,1,1,0,50,840,27500,0,2,11,0
245,14000,6,3,12500,2,1,0,0,9,0,0,378800,1,3,2,0,21,1170,22000,0,1,28,0
246,5000,7,2,4000,1,0,0,0,31,0,0,110400,1,3,5,1,11,1582,48000,0,3,91,0
247,10000,2,1,3420,1,0,0,0,31,0,0,126300,0,3,2,0,21,1072,32500,0,1,9,0
248,20000,2,3,10300,2,0,0,0,31,0,0,173900,1,2,1,0,26,1836,23500,0,1,14,0
249,9000,3,1,3600,1,0,0,0,31,0,0,23600,0,3,0,0,21,1686,25000,0,1,7,0
250,25000,7,2,7500,6,0,0,0,71,0,0,203600,1,1,2,0,112,1388,28000,1,4,31,0
251,4000,5,3,2400,1,0,0,0,31,0,0,27400,1,1,1,1,38,864,22000,1,2,37,0
252,20000,7,1,7500,2,0,0,0,31,0,0,27800,0,2,1,0,23,1260,23500,0,1,21,0
253,22000,10,3,10636,1,0,0,0,48,0,0,304900,2,3,2,0,21,10094,99000,0,3,7,0
254,12000,2,1,7300,2,0,0,0,49,0,0,19100,0,4,4,2,13,1442,33500,0,6,1,0
255,10000,7,1,5500,2,0,0,0,31,0,0,24500,0,3,2,0,27,1108,31000,0,3,9,0
256,5000,4,1,20000,2,0,0,0,31,0,0,67700,0,4,2,0,21,12590,36500,0,2,13,0
257,9000,4,3,12875,8,0,2,0,44,0,0,166400,1,4,2,0,21,1558,27000,0,3,20,0
258,23000,10,3,13000,1,1,0,0,10,0,0,151600,2,4,2,0,33,5776,91000,0,4,14,0
259,3000,7,2,1500,2,0,0,0,56,0,0,5800,0,3,2,0,21,1162,42000,0,5,2,0
260,10000,10,1,11300,2,0,0,0,31,0,0,53200,0,2,1,0,21,2664,62000,0,1,67,0
